Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"U7","Compute_Module_4_Connector_A","Hirose-DF40C-100DS-0.4V(51)",122.465000,-68.200000,90.0,top
"U8","Compute_Module_4_Connector_B","Hirose-DF40C-100DS-0.4V(51)",88.545000,-68.200000,90.0,top
