Comment,Designator,Footprint,LCSC Part Number
Rpi Compute Module 4 connector A (Hirose DF40C-100DS-0.4V(51)),U7,SMD P=0.4mm,C597931
Rpi Compute Module 4 connector B (Hirose DF40C-100DS-0.4V(51)),U8,SMD P=0.4mm,C597931
